Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Story Focus,Gameplay Focus,Series
Assassin's Creed Chronicles: China,2015,Action,Ubisoft,0,0.03,0,0.01,0.04,69,44,6.4,83,"Climax Group, Climax Studios",T,,x,x
Assassin's Creed II,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91,70,8.6,1202,Ubisoft Montreal,M,,x,x
Assassin's Creed II,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90,82,8.8,1305,Ubisoft Montreal,M,,x,x
Assassin's Creed II,2010,Action,Ubisoft,0.01,0.45,0,0.09,0.55,86,22,6.9,1611,Ubisoft Montreal,M,,x,x
Assassin's Creed II: Discovery,2009,Action,Ubisoft,0.15,0.11,0,0.03,0.28,69,20,7.3,22,Griptonite Games,T,,x,x
Assassin's Creed III,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85,41,6.9,1307,Ubisoft,M,,x,x
Assassin's Creed III,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84,61,6.7,1196,Ubisoft,M,,x,x
Assassin's Creed III,2012,Action,Ubisoft,0.28,0.53,0,0.12,0.93,80,21,6.2,1489,Ubisoft,M,,x,x
Assassin's Creed III,2012,Action,Ubisoft,0.19,0.13,0,0.03,0.35,85,26,7.1,216,Ubisoft Quebec,M,,x,x
Assassin's Creed III: Liberation,2012,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32,70,71,7.2,318,Ubisoft,M,,x,x
Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,1.33,1.68,0.13,0.57,3.71,88,36,8.1,840,Ubisoft,M,,x,x
Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,1.9,1.11,0.01,0.29,3.3,86,35,7.9,701,Ubisoft,M,,x,x
Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,1.07,1.31,0.06,0.42,2.85,83,29,7.8,1530,Ubisoft,M,,x,x
Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,0.22,0.38,0,0.05,0.64,84,10,7.7,1470,Ubisoft,M,,x,x
Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,0.17,0.09,0,0.03,0.29,86,5,7.7,207,Ubisoft,M,,x,x
Assassin's Creed Syndicate,2015,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76,86,6.8,1319,Ubisoft Quebec,M,,x,x
Assassin's Creed Syndicate,2015,Action,Ubisoft,0.62,0.56,0,0.11,1.3,78,22,6.1,402,Ubisoft Quebec,M,,x,x
Assassin's Creed Syndicate,2015,Action,Ubisoft,0.11,0.09,0,0.02,0.21,74,14,5.9,544,Ubisoft Quebec,M,,x,x
Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,0.04,0.13,0,0.03,0.2,72,32,7.4,49,Ubisoft Montreal,M,,x,x
